Site,Date,live_dead,shell_height_mm,total_live,sample,time,latitude,longitude,depth_m,pH,cond_mScm,turb_NTU,TDS_gL,temp_C,sal_ppt,DO_mgL
Bush Terminal Park,2016-07-20,,12.0,,A,2:14:00 PM,40.653736,-74.01876,0.0,8.64,37.4,16.0,,27.4,23.8,12.15
Bush Terminal Park,2016-07-20,,12.0,,B,2:22:00 PM,40.654206,-74.01951700000001,0.0,8.21,37.8,12.0,23.1,25.52,24.0,8.26
Bush Terminal Park,2016-07-20,,12.0,,C,2:26:00 PM,40.654472999999996,-74.01910600000001,1.0,8.35,38.3,8.9,23.4,25.27,24.3,9.19
Bush Terminal Park,2016-07-20,,12.0,,D,2:30:00 PM,40.654269,-74.01872,1.0,8.69,38.6,14.1,23.5,26.89,24.5,11.99
Bush Terminal Park,2016-07-20,,12.0,,E,2:36:00 PM,40.654438,-74.018495,0.0,7.92,39.1,10.4,23.9,24.66,24.9,7.53
Bush Terminal Park,2016-07-20,,12.0,,F,2:37:00 PM,40.654373,-74.01835200000001,1.0,8.02,39.6,14.0,24.2,24.4,25.2,8.36
Bush Terminal Park,2016-07-20,,11.0,,A,2:14:00 PM,40.653736,-74.01876,0.0,8.64,37.4,16.0,,27.4,23.8,12.15
Bush Terminal Park,2016-07-20,,11.0,,B,2:22:00 PM,40.654206,-74.01951700000001,0.0,8.21,37.8,12.0,23.1,25.52,24.0,8.26
Bush Terminal Park,2016-07-20,,11.0,,C,2:26:00 PM,40.654472999999996,-74.01910600000001,1.0,8.35,38.3,8.9,23.4,25.27,24.3,9.19
Bush Terminal Park,2016-07-20,,11.0,,D,2:30:00 PM,40.654269,-74.01872,1.0,8.69,38.6,14.1,23.5,26.89,24.5,11.99
Bush Terminal Park,2016-07-20,,11.0,,E,2:36:00 PM,40.654438,-74.018495,0.0,7.92,39.1,10.4,23.9,24.66,24.9,7.53
Bush Terminal Park,2016-07-20,,11.0,,F,2:37:00 PM,40.654373,-74.01835200000001,1.0,8.02,39.6,14.0,24.2,24.4,25.2,8.36
Bush Terminal Park,2016-07-20,,13.0,,A,2:14:00 PM,40.653736,-74.01876,0.0,8.64,37.4,16.0,,27.4,23.8,12.15
Bush Terminal Park,2016-07-20,,13.0,,B,2:22:00 PM,40.654206,-74.01951700000001,0.0,8.21,37.8,12.0,23.1,25.52,24.0,8.26
Bush Terminal Park,2016-07-20,,13.0,,C,2:26:00 PM,40.654472999999996,-74.01910600000001,1.0,8.35,38.3,8.9,23.4,25.27,24.3,9.19
Bush Terminal Park,2016-07-20,,13.0,,D,2:30:00 PM,40.654269,-74.01872,1.0,8.69,38.6,14.1,23.5,26.89,24.5,11.99
Bush Terminal Park,2016-07-20,,13.0,,E,2:36:00 PM,40.654438,-74.018495,0.0,7.92,39.1,10.4,23.9,24.66,24.9,7.53
Bush Terminal Park,2016-07-20,,13.0,,F,2:37:00 PM,40.654373,-74.01835200000001,1.0,8.02,39.6,14.0,24.2,24.4,25.2,8.36
Bush Terminal Park,2016-07-20,,15.0,,A,2:14:00 PM,40.653736,-74.01876,0.0,8.64,37.4,16.0,,27.4,23.8,12.15
Bush Terminal Park,2016-07-20,,15.0,,B,2:22:00 PM,40.654206,-74.01951700000001,0.0,8.21,37.8,12.0,23.1,25.52,24.0,8.26
Bush Terminal Park,2016-07-20,,15.0,,C,2:26:00 PM,40.654472999999996,-74.01910600000001,1.0,8.35,38.3,8.9,23.4,25.27,24.3,9.19
Bush Terminal Park,2016-07-20,,15.0,,D,2:30:00 PM,40.654269,-74.01872,1.0,8.69,38.6,14.1,23.5,26.89,24.5,11.99
Bush Terminal Park,2016-07-20,,15.0,,E,2:36:00 PM,40.654438,-74.018495,0.0,7.92,39.1,10.4,23.9,24.66,24.9,7.53
Bush Terminal Park,2016-07-20,,15.0,,F,2:37:00 PM,40.654373,-74.01835200000001,1.0,8.02,39.6,14.0,24.2,24.4,25.2,8.36
Bush Terminal Park,2016-07-20,,16.0,,A,2:14:00 PM,40.653736,-74.01876,0.0,8.64,37.4,16.0,,27.4,23.8,12.15
